ax_clip,deltaf_clip_deg,timestep
8.583579063415527344e-01,8.553910255432128906e-01,1.350000000000000000e+02
1.107150197029113770e+00,8.790186047554016113e-01,1.360000000000000000e+02
1.274876356124877930e+00,8.879156112670898438e-01,1.370000000000000000e+02
1.481740236282348633e+00,8.795780539512634277e-01,1.380000000000000000e+02
1.667880296707153320e+00,8.638617992401123047e-01,1.390000000000000000e+02
1.779423713684082031e+00,8.477992415428161621e-01,1.400000000000000000e+02
1.935807943344116211e+00,8.294724225997924805e-01,1.410000000000000000e+02
2.076513528823852539e+00,8.117850422859191895e-01,1.420000000000000000e+02
2.147147178649902344e+00,7.941774129867553711e-01,1.430000000000000000e+02
2.266712427139282227e+00,7.712956666946411133e-01,1.440000000000000000e+02
2.374312162399291992e+00,7.458832263946533203e-01,1.450000000000000000e+02
2.471157073974609375e+00,7.199381589889526367e-01,1.460000000000000000e+02
2.558325529098510742e+00,6.945789456367492676e-01,1.470000000000000000e+02
2.636771678924560547e+00,6.698325276374816895e-01,1.480000000000000000e+02
2.707368850708007812e+00,6.452192664146423340e-01,1.490000000000000000e+02
2.770905256271362305e+00,6.202597022056579590e-01,1.500000000000000000e+02
2.884054422378540039e+00,5.948472619056701660e-01,1.510000000000000000e+02
2.929877281188964844e+00,5.719121694564819336e-01,1.520000000000000000e+02
2.971118211746215820e+00,5.490303635597229004e-01,1.530000000000000000e+02
3.064192533493041992e+00,5.252428650856018066e-01,1.540000000000000000e+02
3.147914648056030273e+00,5.029470920562744141e-01,1.550000000000000000e+02
3.167257070541381836e+00,4.826490879058837891e-01,1.560000000000000000e+02
3.240623474121093750e+00,4.617118537425994873e-01,1.570000000000000000e+02
3.306611299514770508e+00,4.414405524730682373e-01,1.580000000000000000e+02
3.365958213806152344e+00,4.221548438072204590e-01,1.590000000000000000e+02
3.419331073760986328e+00,4.038280844688415527e-01,1.600000000000000000e+02
3.467329740524291992e+00,3.861939013004302979e-01,1.610000000000000000e+02
3.510479450225830078e+00,3.689326345920562744e-01,1.620000000000000000e+02
3.549279689788818359e+00,3.519111573696136475e-01,1.630000000000000000e+02
3.584164142608642578e+00,3.352359235286712646e-01,1.640000000000000000e+02
3.671501159667968750e+00,3.191467225551605225e-01,1.650000000000000000e+02
3.694052934646606445e+00,3.052684664726257324e-01,1.660000000000000000e+02
3.770293235778808594e+00,2.920827865600585938e-01,1.670000000000000000e+02
3.838840961456298828e+00,2.800957858562469482e-01,1.680000000000000000e+02
3.844486236572265625e+00,2.686948180198669434e-01,1.690000000000000000e+02
3.905528783798217773e+00,2.562017440795898438e-01,1.700000000000000000e+02
3.960408926010131836e+00,2.434955686330795288e-01,1.710000000000000000e+02
4.009742259979248047e+00,2.313220798969268799e-01,1.720000000000000000e+02
4.110071659088134766e+00,2.202141582965850830e-01,1.730000000000000000e+02
4.144304752349853516e+00,2.112638801336288452e-01,1.740000000000000000e+02
4.175057888031005859e+00,2.031127363443374634e-01,1.750000000000000000e+02
4.258677482604980469e+00,1.947218477725982666e-01,1.760000000000000000e+02
4.277881145477294922e+00,1.862777024507522583e-01,1.770000000000000000e+02
4.351111412048339844e+00,1.769544929265975952e-01,1.780000000000000000e+02
4.416951179504394531e+00,1.677644699811935425e-01,1.790000000000000000e+02
4.476155281066894531e+00,1.594002097845077515e-01,1.800000000000000000e+02
4.529359340667724609e+00,1.522080153226852417e-01,1.810000000000000000e+02
4.577191352844238281e+00,1.460547149181365967e-01,1.820000000000000000e+02
4.620185375213623047e+00,1.404075026512145996e-01,1.830000000000000000e+02
4.714807510375976562e+00,1.346004903316497803e-01,1.840000000000000000e+02
