cost_real_0,cost_real_1,cost_real_2,timestep
-1.000000000000000000e+00,-6.977053642272949219e+00,-1.040415525436401367e+00,6.200000000000000000e+01
-1.000000000000000000e+00,-7.353583335876464844e+00,-8.605862855911254883e-01,6.300000000000000000e+01
-1.000000000000000000e+00,-8.190218925476074219e+00,-7.143299579620361328e-01,6.400000000000000000e+01
-1.000000000000000000e+00,-8.514620780944824219e+00,-6.193685531616210938e-01,6.500000000000000000e+01
-1.000000000000000000e+00,-9.032670021057128906e+00,-5.570499897003173828e-01,6.600000000000000000e+01
-1.000000000000000000e+00,-2.276381683349609375e+01,-4.999070167541503906e-01,6.700000000000000000e+01
-1.000000000000000000e+00,-1.001485919952392578e+01,-8.706243038177490234e-01,6.800000000000000000e+01
-1.000000000000000000e+00,-1.060045528411865234e+01,-6.936450004577636719e-01,6.900000000000000000e+01
-1.000000000000000000e+00,-1.094980812072753906e+01,-5.451604127883911133e-01,7.000000000000000000e+01
-1.000000000000000000e+00,-1.140307426452636719e+01,-4.196094274520874023e-01,7.100000000000000000e+01
-1.000000000000000000e+00,-1.179657745361328125e+01,-3.257508277893066406e-01,7.200000000000000000e+01
-1.000000000000000000e+00,-1.224708843231201172e+01,-8.788785934448242188e+00,7.300000000000000000e+01
-1.000000000000000000e+00,-1.277404403686523438e+01,-7.072168588638305664e-01,7.400000000000000000e+01
-1.000000000000000000e+00,-1.314770889282226562e+01,-1.008336782455444336e+00,7.500000000000000000e+01
-1.000000000000000000e+00,-1.248104667663574219e+01,-1.314200639724731445e+00,7.600000000000000000e+01
-1.000000000000000000e+00,-1.180294322967529297e+01,-1.620573043823242188e+00,7.700000000000000000e+01
-1.000000000000000000e+00,-1.112109184265136719e+01,-1.924972295761108398e+00,7.800000000000000000e+01
-1.000000000000000000e+00,-1.048971652984619141e+01,-2.230767488479614258e+00,7.900000000000000000e+01
-1.000000000000000000e+00,-9.908874511718750000e+00,-2.545173406600952148e+00,8.000000000000000000e+01
-1.000000000000000000e+00,-9.297334671020507812e+00,-2.867468118667602539e+00,8.100000000000000000e+01
-1.000000000000000000e+00,-8.503280639648437500e+00,-6.540210247039794922e+00,8.200000000000000000e+01
-1.000000000000000000e+00,-7.451214790344238281e+00,-3.416759014129638672e+00,8.300000000000000000e+01
-1.000000000000000000e+00,-6.238065719604492188e+00,-3.603967666625976562e+00,8.400000000000000000e+01
-1.000000000000000000e+00,-5.012767314910888672e+00,-7.301796913146972656e+00,8.500000000000000000e+01
-1.000000000000000000e+00,-3.879821300506591797e+00,-3.950933933258056641e+00,8.600000000000000000e+01
-1.000000000000000000e+00,-3.319360256195068359e+00,-4.161636352539062500e+00,8.700000000000000000e+01
-1.000000000000000000e+00,-2.911580324172973633e+00,-4.399187564849853516e+00,8.800000000000000000e+01
-1.000000000000000000e+00,-2.501418590545654297e+00,-4.648155212402343750e+00,8.900000000000000000e+01
-1.000000000000000000e+00,-2.099310398101806641e+00,-4.891503334045410156e+00,9.000000000000000000e+01
-1.000000000000000000e+00,-1.668650150299072266e+00,-5.195426464080810547e+00,9.100000000000000000e+01
-1.000000000000000000e+00,-1.244631528854370117e+00,-5.540684223175048828e+00,9.200000000000000000e+01
-1.000000000000000000e+00,-8.366178274154663086e-01,-5.903668403625488281e+00,9.300000000000000000e+01
-1.000000000000000000e+00,-4.449318647384643555e-01,-8.201749801635742188e+00,9.400000000000000000e+01
-1.000000000000000000e+00,-7.669687271118164062e-02,-6.412566661834716797e+00,9.500000000000000000e+01
-1.000000000000000000e+00,1.902471184730529785e-01,-6.472599029541015625e+00,9.600000000000000000e+01
-1.000000000000000000e+00,1.780266761779785156e-01,-6.538716316223144531e+00,9.700000000000000000e+01
