ax_clip,deltaf_clip_deg,timestep
3.083667278289794922e+00,1.652072370052337646e-01,1.390000000000000000e+02
3.164793252944946289e+00,1.609185487031936646e-01,1.400000000000000000e+02
3.237760305404663086e+00,1.360122710466384888e-01,1.410000000000000000e+02
3.303412675857543945e+00,1.054588034749031067e-01,1.420000000000000000e+02
3.362467288970947266e+00,8.414861559867858887e-02,1.430000000000000000e+02
3.415566921234130859e+00,7.919398695230484009e-02,1.440000000000000000e+02
3.463313341140747070e+00,8.769142627716064453e-02,1.450000000000000000e+02
3.506223917007446289e+00,1.003443524241447449e-01,1.460000000000000000e+02
3.544800281524658203e+00,1.072967946529388428e-01,1.470000000000000000e+02
3.579490184783935547e+00,1.034876033663749695e-01,1.480000000000000000e+02
3.666673660278320312e+00,9.032855927944183350e-02,1.490000000000000000e+02
3.689107656478881836e+00,7.447910308837890625e-02,1.500000000000000000e+02
3.765262842178344727e+00,6.257204711437225342e-02,1.510000000000000000e+02
3.777764558792114258e+00,5.886939540505409241e-02,1.520000000000000000e+02
3.844973087310791016e+00,6.235893815755844116e-02,1.530000000000000000e+02
3.905402660369873047e+00,6.877863407135009766e-02,1.540000000000000000e+02
3.959742784500122070e+00,7.274765521287918091e-02,1.550000000000000000e+02
4.008604049682617188e+00,7.085637748241424561e-02,1.560000000000000000e+02
4.052548408508300781e+00,6.305152177810668945e-02,1.570000000000000000e+02
4.148043155670166016e+00,5.258288979530334473e-02,1.580000000000000000e+02
4.177936077117919922e+00,4.405881464481353760e-02,1.590000000000000000e+02
4.204824447631835938e+00,4.046271741390228271e-02,1.600000000000000000e+02
4.284978389739990234e+00,4.211426153779029846e-02,1.610000000000000000e+02
4.357044696807861328e+00,4.680250585079193115e-02,1.620000000000000000e+02
4.421849250793457031e+00,5.063833668828010559e-02,1.630000000000000000e+02
4.424150943756103516e+00,5.058505758643150330e-02,1.640000000000000000e+02
4.482202053070068359e+00,4.552388936281204224e-02,1.650000000000000000e+02
4.590373992919921875e+00,3.737274184823036194e-02,1.660000000000000000e+02
4.631672859191894531e+00,2.980762347579002380e-02,1.670000000000000000e+02
4.668811321258544922e+00,2.581196464598178864e-02,1.680000000000000000e+02
4.758177280426025391e+00,2.655782178044319153e-02,1.690000000000000000e+02
